"Industry Code","Industry","Category","Type","Valuation","Statistic","Period","Value"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Price % Change","2023Q1","3.8"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Price % Change","2023Q2","2.1"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Price % Change","2023Q3","3.3"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Price % Change","2023Q4","1.6"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Price % Change","2024Q1","3.1"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Price % Change","2024Q2","2.6"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Price % Change","2024Q3","1.8"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Price % Change","2024Q4","2.4"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Price % Change","2025Q1","3.6"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Price % Change","2025Q2","2.1"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Price % Change","2025Q3","3.8"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Price % Change","2025Q4","3.7"
"21","Mining","VA_DD","Index","[Percent and percentage points] (All Industries)","P-Contributions to GDP","2021Q1","0.80"
"21","Mining","VA_DD","Index","[Percent and percentage points] (All Industries)","P-Contributions to GDP","2021Q2","0.59"
"21","Mining","VA_DD","Index","[Percent and percentage points] (All Industries)","P-Contributions to GDP","2021Q3","0.43"
"21","Mining","VA_DD","Index","[Percent and percentage points] (All Industries)","P-Contributions to GDP","2021Q4","1.08"
"21","Mining","VA_DD","Index","[Percent and percentage points] (All Industries)","P-Contributions to GDP","2022Q1","0.77"
"21","Mining","VA_DD","Index","[Percent and percentage points] (All Industries)","P-Contributions to GDP","2022Q2","1.71"
"21","Mining","VA_DD","Index","[Percent and percentage points] (All Industries)","P-Contributions to GDP","2022Q3","-0.78"
"21","Mining","VA_DD","Index","[Percent and percentage points] (All Industries)","P-Contributions to GDP","2022Q4","-1.70"
"21","Mining","VA_DD","Index","[Percent and percentage points] (All Industries)","P-Contributions to GDP","2023Q1","-0.97"
"21","Mining","VA_DD","Index","[Percent and percentage points] (All Industries)","P-Contributions to GDP","2023Q2","-0.98"
"21","Mining","VA_DD","Index","[Percent and percentage points] (All Industries)","P-Contributions to GDP","2023Q3","0.34"
"21","Mining","VA_DD","Index","[Percent and percentage points] (All Industries)","P-Contributions to GDP","2023Q4","0.10"
